Title,Family,Synonyms,Common Names,Origin,Growth Habit,Earliest Record,Tool Used For Assessment,Predictive Tool Score,North,Central,South,Assessment Dates,Counties,Questionnaires
Bruguiera gymnorhiza,Rhizophoraceae,"Bruguiera sexangula, Rhizophora gymnorhiza","Largeleaf mangrove, Oriental mangrove","Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,,Predictive Tool,5,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-11,0,
Buddleja lindleyana,Scrophulariaceae,,Lindley's butterflybush,Asia Temperate,Shrub,1915,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2003May 13, 2015",2,
Buddleja officinalis,Buddlejaceae,,"Butterfly-bush, Pole butterflybush","Asia Temperate, Asia Tropical",Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Bulnesia arborea,Zygophyllaceae,,"Maracaibo lignumvitae, Vera wood",South America,Tree,1968,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",0,
Butia capitata,Arecaceae,,"Jelly palm, Pindo palm, South American jelly palm",South America,Tree,1963,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",6,
Buxus microphylla,Buxaceae,,"Japanese boxwood, Littleleaf boxwood",Asia Temperate,"Shrub, Subshrub, Tree",1989,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 5, 2015",0,
Caesalpinia pulcherrima,Fabaceae,,"Dwarf poinciana, Pride-of-Barbados",Unknown,"Shrub, Tree",1940,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",3,
Cajanus cajan,Fabaceae,,Pigeonpea,Asia Temperate,"Shrub, Subshrub",1891,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",3,
Calliandra haematocephala,Fabaceae,,"Powderpuff tree, Stickpea",South America,"Shrub, Subshrub, Tree",1951,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",3,
Callisia fragrans,Commelinaceae,,"Basketplant, Inch plant",North America-Mexico,Forb/Herb,1939,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2006Jan 1, 2012May 13, 2015",9,
Callistemon citrinus,Myrtaceae,,"Citrus-leaved bottle-brush, Crimson bottlebrush, Red bottlebrush",Australasia,"Shrub, Tree",1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Callistemon rigidus,Myrtaceae,Callistemon linearis,"Bottlebrush, Erect bottlebrush, Stiff bottlebrush",Australasia,"Shrub, Tree",1929,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Callistephus chinensis,Asteraceae,Aster chinensis,China aster,Asia Temperate,Forb/Herb,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",0,
Callitris glaucophylla,Cupressaceae,Callitris columellaris,White cypress-pine,Australasia,Tree,1978,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",8,
Calophyllum antillanum,Clusiaceae,"Calophyllum brasiliense var antillanum, Calophyllum brasiliense misapplied","Antilles Calophyllum, Brazilian Beautyleaf, Galba, Santa Maria",South America,"Shrub, Tree",1932,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2006Jan 1, 2012May 13, 2015",4,
Calophyllum inophyllum,Clusiaceae,,Alexandrian laurel,"Africa, Asia Temperate, Asia Tropical, Australasia, Pacific",Tree,1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2005May 13, 2015",1,
Calyptocarpus vialis,Asteraceae,"Synedrella vialis, Calyptocarpus tampicanus","Sprawling horseweed, Straggler daisy","North America-Mexico, South America",Forb/Herb,1946,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",34,
Camelina sativa,Brassicaceae,,"Gold-of-Pleasure, False Flax","Asia Temperate, Asia Tropical, Europe",Forb/Herb,,Predictive Tool,4,Evaluate Further,Evaluate Further,Evaluate Further,"Jan 1, 2010Jan 1, 2012",0,
Camellia japonica,Theaceae,,"Camellia, Japanese camellia",Asia Temperate,"Shrub, Tree",1942,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Camellia sasanqua,Theaceae,,"Camellia, Sasanqua camellia",Asia Temperate,"Shrub, Tree",2003,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Camellia sinensis,Theaceae,"Thea bohea, Thea viridis, Thea assamica, Thea sinensis, Camellia theifera, Camellia thea",,"Asia Temperate, Asia Tropical","Shrub, Tree",0,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,15-Oct-18,0,
Canavalia brasiliensis,Fabaceae,,Brazilian jackbean,"Central America, North America-Mexico, South America","Forb/Herb, Vine",1969,Predictive Tool,4,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2011",3,
Canna x generalis,Cannaceae,,"Canna lily, Garden canna",Unknown,"Forb/Herb, Shrub",1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",12,
Canna indica,Cannaceae,,Indian shot,"Central America, North America-Mexico, South America",Forb/Herb,1961,Predictive Tool,27,High Invasion Risk,High Invasion Risk,High Invasion Risk,6-Oct-15,9,
Cannabis sativa,Cannabaceae,,"Industrial hemp (NOTE: This assessment is specific to industrial hemp. Conclusions for this variety may apply to varieties and strains of marijuana, a schedule I controlled substance as determined by the United States federal government.)",Unknown,Forb/Herb,,Predictive Tool,14,High Invasion Risk,High Invasion Risk,High Invasion Risk,1-Aug-14,0,
Cantinoa mutabilis,Lamiaceae,Hyptis mutabilis,Tropical bushmint,"Central America, North America-Mexico, South America",Forb/Herb,1930,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-07,59,
Cardiospermum halicacabum,Sapindaceae,,"Balloonvine, Love-in-a-puff","Africa, Asia Temperate, Asia Tropical, Central America, North America-Mexico, Pacific, South America","Forb/Herb, Vine",1909,,N/A,,,,,5,
Carissa bispinosa,Apocynaceae,,Thorned carissa,Africa,"Shrub, Tree",1933,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Jul 18, 2017",0,
Carissa macrocarpa,Apocynaceae,,"Amatungulu, Natal plum",Africa,Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",9,
Carpentaria acuminata,Arecaceae,,Carpentaria palm,Australasia,Tree,1992,,N/A,,,,,0,
Carpobrotus edulis,Aizoaceae,,"Hottentot fig, Ice plant",Africa,Shrub,2007,,N/A,,,,,5,
Carthamus oxyacantha,Asteraceae,,wild safflower,"Asia Temperate, Asia Tropical",Forb/Herb,,,N/A,Prohibited,Prohibited,Prohibited,6-May-14,0,
Carya illinoinensis,Juglandaceae,,Pecan,North America-Mexico,"Tree, Unknown",1973,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",14,
Caryota mitis,Arecaceae,,Burmese Fishtail Palm,Asia Tropical,Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Caution,"Jan 1, 2007Jan 1, 2012May 13, 2015",2,
Caryota urens,Arecaceae,,"Jaggery palm, fishtail palm, toddy palm, wine palm",Asia Tropical,Tree,1959,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),2-May-17,1,
Cassia fistula,Fabaceae,,Golden shower,Unknown,Tree,1924,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",1,
Cassia javanica,Fabaceae,,"Apple blossom cassia, Pink shower","Asia Temperate, Asia Tropical",Tree,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",1,
Castanea mollissima,Fagaceae,,Chinese chestnut,"Asia Temperate, Asia Tropical",Tree,1903,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",2,
Casuarina cunninghamiana,Casuarinaceae,,"River sheoak, beefwood",Australasia,Tree,1932,,12,High Invasion Risk,High Invasion Risk,High Invasion Risk,,10,
Casuarina equisetifolia,Casuarinaceae,,"Australian-pine, Horsetail casuarina",Australasia,Tree,1928,,N/A,Prohibited,Prohibited,Prohibited,,25,
Casuarina glauca,Casuarinaceae,,"Gray sheoak, Suckering Australian-pine",Australasia,Tree,1930,,N/A,Prohibited,Prohibited,Prohibited,,24,
Catharanthus roseus,Apocynaceae,,"Madagascar Periwinkle, Periwinkle, Vinca",Africa,"Forb/Herb, Subshrub",1951,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Caution,"Jan 1, 2005Jan 1, 2012May 13, 2015",32,
Cecropia palmata,Cecropiaceae,,"Snakewood tree, Trumpet tree",South America,Tree,1937,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (documented),Not a problem species (documented),"Jan 1, 2006Jun 13, 2016",2,
Celastrus paniculatus,Celastraceae,,"Bittersweet, Staff-vine","Asia Temperate, Asia Tropical, Pacific",Vine,1948,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Mar 20, 2017",1,
Celosia argentea,Amaranthaceae,"Celosia cristata, Celosia argentea var cristata","Crested cock's comb, Silver cock's comb",Unknown,Forb/Herb,1971,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",2,
Centaurea cyanus,Asteraceae,,"Bachelor's buttons, Bluebottle, Garden cornflower","Asia Temperate, Europe",Forb/Herb,1964,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jun 13, 2016",4,
Centratherum punctatum,Asteraceae,,Larkdaisy,"Asia Tropical, Australasia, South America","Forb/Herb, Subshrub",1965,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",6,
Cephalotaxus harringtonia,Cephalotaxaceae,,"Harrington's cephalotaxus, Japanese plum-yew",Asia Temperate,"Shrub, Tree",1996,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Ceratonia siliqua,Fabaceae,,"Carob, Locust bean, St. John's bread","Africa, Asia Temperate, Europe",Tree,1989,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2007Mar 20, 2017",1,
Cereus repandus,Cactaceae,Cereus peruvianus,"Bishop cactus, Hedge cactus, Peruvian apple cactus",South America,Shrub,,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Mar 20, 2017",0,
Cestrum diurnum,Solanaceae,,"Day Jessamine, Dayflowering Jessamine",South America,"Shrub, Tree",1891,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2006Jan 1, 2012May 13, 2015",8,
Cestrum nocturnum,Solanaceae,,"Night jessamine, Nightflowering jessamine","Central America, North America-Mexico, South America","Shrub, Tree",1970,Predictive Tool,16,High Invasion Risk,High Invasion Risk,High Invasion Risk,2-May-17,5,
Chamaedorea seifrizii,Arecaceae,,"Bamboo palm, Seifriz's chamaedorea","Central America, North America-Mexico, South America",Tree,1970,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2006Jun 13, 2016",3,
Chimonobambusa tumidissinoda,Poaceae,Qiongzhuea tumidinoda,Walking stick bamboo,Asia Temperate,Graminoid,,Predictive Tool,-1,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,16-Dec-14,0,
Chloris gayana,Poaceae,,Rhodesgrass,Africa,Graminoid,1944,,N/A,,,,,7,
Chlorophytum comosum,Agavaceae,,"Spider plant, Spider-ivy",Africa,Forb/Herb,1978,,N/A,,,,,2,
Chorisia speciosa,Malvaceae,Ceiba speciosa,Floss-silk tree,South America,Tree,1927,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",0,
Chrysopogon aciculatus,Poaceae,,"Golden false beardgrass, love grass, Mackie's pest","Asia Temperate, Asia Tropical, Australasia, Pacific",Graminoid,1922,,N/A,Prohibited,Prohibited,Prohibited,,1,
Chrysopogon zizanioides,Poaceae,Vetiveria zizanioides,"Sunshine' [Domesticated] Cuscus Grass, Khus-Khus Grass, Vetiver Grass",Asia Tropical,Graminoid,,Predictive Tool,-9,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,1-Jan-12,0,
Cinnamomum camphora,Lauraceae,,Camphor-tree,Asia Temperate,Tree,1916,Status Assessment,N/A,Invasive,Invasive,Caution,"Jan 1, 2003Jul 31, 2015",44,
Citrullus lanatus,Cucurbitaceae,,"Citron, Watermelon",Africa,"Forb/Herb, Vine",1929,Status Assessment,2,Low Invasion Risk,Low Invasion Risk,Low Invasion Risk,"Jan 1, 2007Jul 19, 2017",25,
Citrus x aurantifolia,Rutaceae,,Key lime,Asia Temperate,"Shrub, Tree",1937,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Jun 25, 2018",5,
Citrus x aurantium,Rutaceae,Citrus paradisi,"Grapefruit, Sour Orange",Unknown,"Shrub, Tree",1923,Status Assessment,N/A,Caution,Caution,Caution,"Jan 1, 2007Jan 1, 2011Aug 11, 2014Dec 16, 2016Jun 25, 2018",32,
Citrus x jambhiri,Rutaceae,,"Mandarin lime, Rough lemon",Asia Tropical,Tree,1977,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Nov 1, 2016",1,
Citrus japonica,Rutaceae,Fortunella japonica,Round kumquat,Asia Temperate,"Shrub, Tree",1996,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),1-Jan-05,0,
Citrus medica,Rutaceae,,Citron,Asia Tropical,"Shrub, Tree",1901,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Jul 7, 2016",2,
Clematis terniflora,Ranunculaceae,,"Japanese clematis, Sweet autumn virginsbower",Asia Temperate,Vine,1906,Status Assessment,9,Not a problem species (documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",16,
Cleome spinosa,Capparaceae,Tarenaya spinosa,"Spiderflower, Spiny spiderflower","Central America, South America","Forb/Herb, Subshrub",,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2006Aug 9, 2016",0,
Clerodendrum bungei,Lamiaceae,,Rose glorybower,"Asia Temperate, Asia Tropical","Shrub, Tree",1950,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (un-documented),"Jan 1, 2005May 13, 2015",12,
Clerodendrum chinense,Lamiaceae,,Stickbush,Asia Temperate,"Shrub, Subshrub, Tree",1963,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2007Jan 1, 2012May 13, 2015",10,
Clerodendrum indicum,Lamiaceae,,"Skyrocket, Turk's turban","Asia Temperate, Asia Tropical","Shrub, Subshrub, Tree",1937,Status Assessment,N/A,Not a problem species (un-documented),Not a problem species (un-documented),Not a problem species (documented),"Jan 1, 2007Mar 20, 2017",44,
Clerodendrum speciosissimum,Lamiaceae,,Javanese Glorybower,Asia Tropical,"Shrub, Tree",1958,Status Assessment,N/A,Not a problem species (un-documented),Caution,Caution,"Jan 1, 2007Jan 1, 2012May 13, 2015",9,
